Dec 25, 2011
New York Knicks 106, Boston Celtics 104 at New York
Los Angeles Clippers 105, Golden State Warriors 86 at Golden State
Chicago Bulls 88, Los Angeles Lakers 87 at Los Angeles
Miami Heat 105, Dallas Mavericks 94 at Dallas
Oklahoma City Thunder 97, Orlando Magic 89 at Oklahoma City
Dec 26, 2011
Denver Nuggets 115, Dallas Mavericks 93 at Dallas
Charlotte Bobcats 96, Milwaukee Bucks 95 at Charlotte
New Jersey Nets 90, Washington Wizards 84 at Washington
New Orleans Hornets 85, Phoenix Suns 84 at Phoenix
Toronto Raptors 104, Cleveland Cavaliers 96 at Cleveland
Indiana Pacers 91, Detroit Pistons 79 at Indiana
Sacramento Kings 100, Los Angeles Lakers 91 at Sacramento
San Antonio Spurs 95, Memphis Grizzlies 82 at San Antonio
Oklahoma City Thunder 104, Minnesota Timberwolves 100 at Minnesota
Golden State Warriors 99, Chicago Bulls 91 at Golden State
Orlando Magic 104, Houston Rockets 95 at Orlando
Portland Trail Blazers 107, Philadelphia 76ers 103 at Portland
Dec 27, 2011
Atlanta Hawks 106, New Jersey Nets 70 at New Jersey
Miami Heat 115, Boston Celtics 107 at Miami
Portland Trail Blazers 101, Sacramento Kings 79 at Portland
Los Angeles Lakers 96, Utah Jazz 71 at Los Angeles
Milwaukee Bucks 98, Minnesota Timberwolves 95 at Milwaukee
Dec 28, 2011
Indiana Pacers 90, Toronto Raptors 85 at Toronto
San Antonio Spurs 115, Los Angeles Clippers 90 at San Antonio
Oklahoma City Thunder 98, Memphis Grizzlies 95 at Memphis
Cleveland Cavaliers 105, Detroit Pistons 89 at Detroit
Miami Heat 96, Charlotte Bobcats 95 at Charlotte
Denver Nuggets 117, Utah Jazz 100 at Denver
Atlanta Hawks 101, Washington Wizards 83 at Atlanta
New Orleans Hornets 97, Boston Celtics 78 at New Orleans
Golden State Warriors 92, New York Knicks 78 at Golden State
Philadelphia 76ers 103, Phoenix Suns 83 at Phoenix
Dec 29, 2011
Oklahoma City Thunder 104, Dallas Mavericks 102 at Oklahoma City
Orlando Magic 94, New Jersey Nets 78 at Orlando
Portland Trail Blazers 111, Denver Nuggets 102 at Portland
Houston Rockets 105, San Antonio Spurs 85 at Houston
Chicago Bulls 108, Sacramento Kings 98 at Sacramento
Los Angeles Lakers 99, New York Knicks 82 at Los Angeles
Dec 30, 2011
Boston Celtics 96, Detroit Pistons 85 at Boston
Atlanta Hawks 105, New Jersey Nets 98 at Atlanta
Phoenix Suns 93, New Orleans Hornets 78 at New Orleans
