Oct 27, 2015
Detroit Pistons 106, Atlanta Hawks 94 at Atlanta
Chicago Bulls 97, Cleveland Cavaliers 95 at Chicago
Golden State Warriors 111, New Orleans Pelicans 95 at Golden State
Oct 28, 2015
Washington Wizards 88, Orlando Magic 87 at Orlando
Boston Celtics 112, Philadelphia 76ers 95 at Boston
Chicago Bulls 115, Brooklyn Nets 100 at Brooklyn
Detroit Pistons 92, Utah Jazz 87 at Detroit
Miami Heat 104, Charlotte Hornets 94 at Miami
Toronto Raptors 106, Indiana Pacers 99 at Toronto
Denver Nuggets 105, Houston Rockets 85 at Houston
Cleveland Cavaliers 106, Memphis Grizzlies 76 at Memphis
New York Knicks 122, Milwaukee Bucks 97 at Milwaukee
Oklahoma City Thunder 112, San Antonio Spurs 106 at Oklahoma City
Dallas Mavericks 111, Phoenix Suns 95 at Phoenix
Portland Trail Blazers 112, New Orleans Pelicans 94 at Portland
Los Angeles Clippers 111, Sacramento Kings 104 at Sacramento
Minnesota Timberwolves 112, Los Angeles Lakers 111 at Los Angeles
Oct 29, 2015
Memphis Grizzlies 112, Indiana Pacers 103 at Indiana
Atlanta Hawks 112, New York Knicks 101 at New York
Los Angeles Clippers 104, Dallas Mavericks 88 at Los Angeles
Oct 30, 2015
Washington Wizards 118, Milwaukee Bucks 113 at Milwaukee
San Antonio Spurs 102, Brooklyn Nets 75 at San Antonio
Minnesota Timberwolves 95, Denver Nuggets 78 at Denver
Golden State Warriors 112, Houston Rockets 92 at Houston
Sacramento Kings 132, Los Angeles Lakers 114 at Sacramento
Phoenix Suns 110, Portland Trail Blazers 92 at Phoenix
Cleveland Cavaliers 102, Miami Heat 92 at Cleveland
Oklahoma City Thunder 139, Orlando Magic 136 2OT at Orlando
Utah Jazz 99, Philadelphia 76ers 71 at Philadelphia
Toronto Raptors 113, Boston Celtics 103 at Boston
Detroit Pistons 98, Chicago Bulls 94 OT at Detroit
Atlanta Hawks 97, Charlotte Hornets 94 at Atlanta
Oct 31, 2015
Utah Jazz 97, Indiana Pacers 76 at Indiana
New York Knicks 117, Washington Wizards 110 at Washington
Golden State Warriors 134, New Orleans Pelicans 120 at New Orleans
Memphis Grizzlies 101, Brooklyn Nets 91 at Memphis
Phoenix Suns 101, Portland Trail Blazers 90 at Portland
Los Angeles Clippers 114, Sacramento Kings 109 at Los Angeles
Nov 1, 2015
Atlanta Hawks 94, Charlotte Hornets 92 at Charlotte
San Antonio Spurs 95, Boston Celtics 87 at Boston
Miami Heat 109, Houston Rockets 89 at Miami
Toronto Raptors 106, Milwaukee Bucks 87 at Toronto
Chicago Bulls 92, Orlando Magic 87 at Chicago
Oklahoma City Thunder 117, Denver Nuggets 93 at Oklahoma City
Dallas Mavericks 103, Los Angeles Lakers 93 at Los Angeles
Nov 2, 2015
Cleveland Cavaliers 107, Philadelphia 76ers 100 at Philadelphia
Milwaukee Bucks 103, Brooklyn Nets 96 at Brooklyn
San Antonio Spurs 94, New York Knicks 84 at New York
Houston Rockets 110, Oklahoma City Thunder 105 at Houston
Portland Trail Blazers 106, Minnesota Timberwolves 101 at Minnesota
Golden State Warriors 119, Memphis Grizzlies 69 at Golden State
Los Angeles Clippers 102, Phoenix Suns 96 at Los Angeles
Nov 3, 2015
Charlotte Hornets 130, Chicago Bulls 105 at Charlotte
Indiana Pacers 94, Detroit Pistons 82 at Detroit
Atlanta Hawks 98, Miami Heat 92 at Miami
Orlando Magic 103, New Orleans Pelicans 94 at New Orleans
Toronto Raptors 102, Dallas Mavericks 91 at Dallas
Memphis Grizzlies 103, Sacramento Kings 89 at Sacramento
Denver Nuggets 120, Los Angeles Lakers 109 at Los Angeles
Nov 4, 2015
Indiana Pacers 100, Boston Celtics 98 at Indiana
Washington Wizards 102, San Antonio Spurs 99 at Washington
Atlanta Hawks 101, Brooklyn Nets 87 at Atlanta
Cleveland Cavaliers 96, New York Knicks 86 at Cleveland
Houston Rockets 119, Orlando Magic 114 OT at Houston
Milwaukee Bucks 91, Philadelphia 76ers 87 at Milwaukee
Toronto Raptors 103, Oklahoma City Thunder 98 at Oklahoma City
Phoenix Suns 118, Sacramento Kings 97 at Phoenix
Portland Trail Blazers 108, Utah Jazz 92 at Utah
Golden State Warriors 112, Los Angeles Clippers 108 at Golden State
Nov 5, 2015
Chicago Bulls 104, Oklahoma City Thunder 98 at Chicago
Miami Heat 96, Minnesota Timberwolves 84 at Minnesota
Charlotte Hornets 108, Dallas Mavericks 94 at Dallas
Utah Jazz 96, Denver Nuggets 84 at Denver
Portland Trail Blazers 115, Memphis Grizzlies 96 at Portland
Nov 6, 2015
Orlando Magic 92, Toronto Raptors 87 at Orlando
Boston Celtics 118, Washington Wizards 98 at Boston
Los Angeles Lakers 104, Brooklyn Nets 98 at Brooklyn
Cleveland Cavaliers 108, Philadelphia 76ers 102 at Cleveland
Milwaukee Bucks 99, New York Knicks 92 at New York
Indiana Pacers 90, Miami Heat 87 at Indiana
Atlanta Hawks 121, New Orleans Pelicans 115 at New Orleans
Detroit Pistons 100, Phoenix Suns 92 at Phoenix
Golden State Warriors 119, Denver Nuggets 104 at Golden State
Houston Rockets 116, Sacramento Kings 110 at Sacramento
Nov 7, 2015
Minnesota Timberwolves 102, Chicago Bulls 93 OT at Chicago
Orlando Magic 105, Philadelphia 76ers 97 at Philadelphia
Atlanta Hawks 114, Washington Wizards 99 at Atlanta
Dallas Mavericks 107, New Orleans Pelicans 98 at Dallas
Milwaukee Bucks 94, Brooklyn Nets 86 at Milwaukee
San Antonio Spurs 114, Charlotte Hornets 94 at San Antonio
Utah Jazz 89, Memphis Grizzlies 79 at Utah
Golden State Warriors 103, Sacramento Kings 94 at Sacramento
Houston Rockets 109, Los Angeles Clippers 105 at Los Angeles
Nov 8, 2015
Cleveland Cavaliers 101, Indiana Pacers 97 at Cleveland
New York Knicks 99, Los Angeles Lakers 95 at New York
Miami Heat 96, Toronto Raptors 76 at Miami
Oklahoma City Thunder 124, Phoenix Suns 103 at Oklahoma City
Detroit Pistons 120, Portland Trail Blazers 103 at Portland
Nov 9, 2015
Indiana Pacers 97, Orlando Magic 84 at Indiana
Chicago Bulls 111, Philadelphia 76ers 88 at Philadelphia
Minnesota Timberwolves 117, Atlanta Hawks 107 at Atlanta
Denver Nuggets 108, Portland Trail Blazers 104 at Denver
San Antonio Spurs 106, Sacramento Kings 88 at Sacramento
Golden State Warriors 109, Detroit Pistons 95 at Golden State
Los Angeles Clippers 94, Memphis Grizzlies 92 at Los Angeles
Nov 10, 2015
Cleveland Cavaliers 118, Utah Jazz 114 at Cleveland
Oklahoma City Thunder 125, Washington Wizards 101 at Washington
Miami Heat 101, Los Angeles Lakers 88 at Miami
New York Knicks 111, Toronto Raptors 109 at Toronto
Boston Celtics 99, Milwaukee Bucks 83 at Milwaukee
Charlotte Hornets 104, Minnesota Timberwolves 95 at Minnesota
New Orleans Pelicans 120, Dallas Mavericks 105 at New Orleans
Nov 11, 2015
Charlotte Hornets 95, New York Knicks 93 at Charlotte
Orlando Magic 101, Los Angeles Lakers 99 at Orlando
Toronto Raptors 119, Philadelphia 76ers 103 at Philadelphia
Indiana Pacers 102, Boston Celtics 91 at Boston
Atlanta Hawks 106, New Orleans Pelicans 98 at Atlanta
Dallas Mavericks 118, Los Angeles Clippers 108 at Dallas
Brooklyn Nets 106, Houston Rockets 98 at Houston
Golden State Warriors 100, Memphis Grizzlies 84 at Memphis
Denver Nuggets 103, Milwaukee Bucks 102 at Denver
Sacramento Kings 101, Detroit Pistons 92 at Sacramento
San Antonio Spurs 113, Portland Trail Blazers 101 at Portland
Nov 12, 2015
Miami Heat 92, Utah Jazz 91 at Miami
Golden State Warriors 129, Minnesota Timberwolves 116 at Minnesota
Phoenix Suns 118, Los Angeles Clippers 104 at Phoenix
Nov 13, 2015
Indiana Pacers 107, Minnesota Timberwolves 103 at Indiana
Orlando Magic 102, Utah Jazz 93 at Orlando
Boston Celtics 106, Atlanta Hawks 93 at Boston
Cleveland Cavaliers 90, New York Knicks 84 at New York
Toronto Raptors 100, New Orleans Pelicans 81 at Toronto
Chicago Bulls 102, Charlotte Hornets 97 at Chicago
Memphis Grizzlies 101, Portland Trail Blazers 100 at Memphis
Oklahoma City Thunder 102, Philadelphia 76ers 85 at Oklahoma City
Dallas Mavericks 90, Los Angeles Lakers 82 at Dallas
Denver Nuggets 107, Houston Rockets 98 at Denver
Sacramento Kings 111, Brooklyn Nets 109 at Sacramento
Nov 14, 2015
Los Angeles Clippers 101, Detroit Pistons 96 at Los Angeles
Washington Wizards 108, Orlando Magic 99 at Washington
Dallas Mavericks 110, Houston Rockets 98 at Houston
Milwaukee Bucks 108, Cleveland Cavaliers 105 2OT at Milwaukee
San Antonio Spurs 92, Philadelphia 76ers 83 at San Antonio
Phoenix Suns 105, Denver Nuggets 81 at Phoenix
Golden State Warriors 107, Brooklyn Nets 99 OT at Golden State
Nov 15, 2015
New York Knicks 95, New Orleans Pelicans 87 at New York
Memphis Grizzlies 114, Minnesota Timberwolves 106 at Minnesota
Charlotte Hornets 106, Portland Trail Blazers 94 at Charlotte
Utah Jazz 97, Atlanta Hawks 96 at Atlanta
Boston Celtics 100, Oklahoma City Thunder 85 at Oklahoma City
Sacramento Kings 107, Toronto Raptors 101 at Sacramento
Los Angeles Lakers 97, Detroit Pistons 85 at Los Angeles
Nov 16, 2015
Dallas Mavericks 92, Philadelphia 76ers 86 at Philadelphia
Chicago Bulls 96, Indiana Pacers 95 at Chicago
Boston Celtics 111, Houston Rockets 95 at Houston
Memphis Grizzlies 122, Oklahoma City Thunder 114 at Memphis
San Antonio Spurs 93, Portland Trail Blazers 80 at San Antonio
Phoenix Suns 120, Los Angeles Lakers 101 at Phoenix
Nov 17, 2015
Washington Wizards 115, Milwaukee Bucks 86 at Washington
Brooklyn Nets 90, Atlanta Hawks 88 at Brooklyn
Detroit Pistons 104, Cleveland Cavaliers 99 at Detroit
Minnesota Timberwolves 103, Miami Heat 91 at Miami
New York Knicks 102, Charlotte Hornets 94 at New York
Denver Nuggets 115, New Orleans Pelicans 98 at New Orleans
Golden State Warriors 115, Toronto Raptors 110 at Golden State
Nov 18, 2015
Charlotte Hornets 116, Brooklyn Nets 111 at Charlotte
Orlando Magic 104, Minnesota Timberwolves 101 OT at Orlando
Indiana Pacers 112, Philadelphia 76ers 85 at Philadelphia
Dallas Mavericks 106, Boston Celtics 102 at Boston
Atlanta Hawks 103, Sacramento Kings 97 at Atlanta
Houston Rockets 108, Portland Trail Blazers 103 OT at Houston
Oklahoma City Thunder 110, New Orleans Pelicans 103 at Oklahoma City
San Antonio Spurs 109, Denver Nuggets 98 at San Antonio
Utah Jazz 93, Toronto Raptors 89 at Utah
Chicago Bulls 103, Phoenix Suns 97 at Phoenix
Nov 19, 2015
Miami Heat 116, Sacramento Kings 109 at Miami
Cleveland Cavaliers 115, Milwaukee Bucks 100 at Cleveland
Golden State Warriors 124, Los Angeles Clippers 117 at Los Angeles
Nov 20, 2015
Charlotte Hornets 113, Philadelphia 76ers 88 at Charlotte
Boston Celtics 120, Brooklyn Nets 95 at Boston
Memphis Grizzlies 96, Houston Rockets 84 at Memphis
Detroit Pistons 96, Minnesota Timberwolves 86 at Minnesota
New Orleans Pelicans 104, San Antonio Spurs 90 at New Orleans
New York Knicks 93, Oklahoma City Thunder 90 at Oklahoma City
Dallas Mavericks 102, Utah Jazz 93 at Dallas
Phoenix Suns 114, Denver Nuggets 107 at Denver
Portland Trail Blazers 102, Los Angeles Clippers 91 at Portland
Golden State Warriors 106, Chicago Bulls 94 at Golden State
