
WINNING CREATURE
bostonceltics 2462.43 255.028
detroitpistons 2204.88 226.046
losangeleslakers 2117.72 266.413
utahjazz 1993.88 319.655
sanantoniospurs 1972.46 295.887
phoenixsuns 1968.73 162.211
orlandomagic 1954.65 94.3545
denvernuggets 1876.6 351.328
houstonrockets 1872.86 281.397
neworleanspelicans 1844.55 262.594
dallasmavericks 1735.69 347.565
goldenstatewarriors 1721.51 241.104
torontoraptors 1552.15 241.722
sacramentokings 1525.14 348.232
washingtonwizards 1519.77 215.485
portlandtrailblazers 1518.63 336.266
philadelphiassers 1461.81 175.09
clevelandcavaliers 1399.29 234.282
indianapacers 1364.09 190.952
brooklynnets 1319.62 221.859
17614.9
WINNING CREATURE
bostonceltics 2353.51 245.911
losangeleslakers 2191.84 211.468
detroitpistons 2183.48 209.007
utahjazz 2119.91 274.777
phoenixsuns 2022.71 113.051
orlandomagic 1952.68 66.5453
sanantoniospurs 1944.44 326.661
neworleanspelicans 1930.5 283.954
houstonrockets 1923.22 230.426
denvernuggets 1858.55 312.465
goldenstatewarriors 1739.92 236.286
dallasmavericks 1644.2 346.141
torontoraptors 1560.88 216.074
sacramentokings 1526.2 389.307
philadelphiassers 1513.74 211.847
washingtonwizards 1505.08 249.397
portlandtrailblazers 1494.74 335.969
clevelandcavaliers 1375.89 230.585
indianapacers 1283.66 227.04
brooklynnets 1265.97 275.316
17612.8
WINNING CREATURE
detroitpistons 2347.81 201.44
bostonceltics 2307.37 234.97
losangeleslakers 2271.18 248.266
utahjazz 2074.31 276.857
sanantoniospurs 1979.89 285.848
phoenixsuns 1966.14 178.131
denvernuggets 1894.21 290.244
houstonrockets 1879.6 276.019
orlandomagic 1862.78 92.3924
neworleanspelicans 1859.98 262.906
dallasmavericks 1772.72 319.081
goldenstatewarriors 1707.53 245.403
washingtonwizards 1518.6 231.416
torontoraptors 1514.54 236.289
clevelandcavaliers 1466.67 187.903
sacramentokings 1463.57 273.064
portlandtrailblazers 1463.34 312.887
philadelphiassers 1462.76 228.524
indianapacers 1279.92 214.69
brooklynnets 1210.93 236.603
17626.2
WINNING CREATURE
detroitpistons 2289.86 154.351
bostonceltics 2255.59 259.558
losangeleslakers 2219.31 247.798
utahjazz 2151.25 268.653
neworleanspelicans 1983.99 259.494
phoenixsuns 1977.16 194.542
orlandomagic 1934.06 77.4568
sanantoniospurs 1922.6 351.618
dallasmavericks 1916.92 313.618
denvernuggets 1890.3 292.924
houstonrockets 1814.06 251.962
goldenstatewarriors 1760.66 265.567
torontoraptors 1585.69 240.015
portlandtrailblazers 1510.83 293.195
philadelphiassers 1500.19 187.329
washingtonwizards 1478.21 248.52
sacramentokings 1402.61 279.729
clevelandcavaliers 1312.06 287.718
indianapacers 1298.3 256.448
brooklynnets 1270.19 226.551
17620
WINNING CREATURE
bostonceltics 2623.86 169.169
losangeleslakers 2164.13 258.395
detroitpistons 2048.42 269.651
utahjazz 1993.67 257.286
phoenixsuns 1968.44 95.7898
sanantoniospurs 1932.86 337.931
