WINNING CREATURE
goldenstatewarriors 2588.18 206.933
clevelandcavaliers 2167.36 217.072
sanantoniospurs 2166.45 264.675
oklahomacitythunder 2101.07 272.136
torontoraptors 2099.45 256.536
atlantahawks 1946.05 253.489
losangelesclippers 1937.92 211.855
indianapacers 1784.19 174.299
bostonceltics 1742.41 272.383
miamiheat 1738.52 256.092
portlandtrailblazers 1725.04 281.884
charlottehornets 1711.6 242.145
dallasmavericks 1591.22 154.878
memphisgrizzlies 1542.35 190.281
utahjazz 1536.12 265.074
washingtonwizards 1482.7 228.887
houstonrockets 1463.51 251.761
orlandomagic 1414.9 254.161
detroitpistons 1401.63 305.318
chicagobulls 1341.84 309.307
16769.6
WINNING CREATURE
goldenstatewarriors 2546.86 270.312
torontoraptors 2183.09 237.759
sanantoniospurs 2166.11 261.645
oklahomacitythunder 2090.94 252.099
clevelandcavaliers 2078.88 260.473
losangelesclippers 1938.2 179.403
atlantahawks 1856.67 258.996
indianapacers 1798.16 244.394
portlandtrailblazers 1748.63 258.209
bostonceltics 1729.05 220.34
miamiheat 1722.27 309.045
charlottehornets 1666.06 287.164
dallasmavericks 1530.05 190.27
utahjazz 1523.93 238.419
memphisgrizzlies 1498.87 232.604
washingtonwizards 1457.76 262.134
orlandomagic 1431.83 254.109
detroitpistons 1399.95 261.789
houstonrockets 1377.63 248.379
chicagobulls 1313.36 258.867
16780.2
WINNING CREATURE
goldenstatewarriors 2555.39 209.232
sanantoniospurs 2222.35 303.334
torontoraptors 2098.38 238.029
clevelandcavaliers 2019.08 273.824
oklahomacitythunder 2017.9 297.56
losangelesclippers 2000.43 141.942
atlantahawks 1894.23 208.284
indianapacers 1742.81 246.143
miamiheat 1739.56 330.353
charlottehornets 1728.45 238.395
portlandtrailblazers 1708.56 328.011
bostonceltics 1685.23 242.429
utahjazz 1569.03 209.216
dallasmavericks 1516.48 167.551
washingtonwizards 1478.66 210.314
detroitpistons 1477.42 263.192
memphisgrizzlies 1472.43 255.52
orlandomagic 1440.17 261.271
chicagobulls 1359.55 271.356
houstonrockets 1342.04 259.927
16781
WINNING CREATURE
goldenstatewarriors 2593.23 235.256
sanantoniospurs 2227.78 293.518
torontoraptors 2150.94 197.865
oklahomacitythunder 2130.35 228.899
losangelesclippers 2068.11 205.388
clevelandcavaliers 2032.12 310.61
atlantahawks 1898.17 242.188
indianapacers 1796.25 250.289
bostonceltics 1787.92 193.589
portlandtrailblazers 1759.96 281.61
miamiheat 1727.78 356.66
dallasmavericks 1652.34 148.867
charlottehornets 1603.31 291.089
washingtonwizards 1539.79 181.862
detroitpistons 1511.5 215.19
utahjazz 1502.81 261.745
memphisgrizzlies 1501.49 239.223
houstonrockets 1442.45 183.486
orlandomagic 1363.26 299.041
chicagobulls 1333.03 268.737
16765.4
WINNING CREATURE
goldenstatewarriors 2546.53 231.659
sanantoniospurs 2258.23 250.922
torontoraptors 2192.66 351.845
oklahomacitythunder 2123.6 222.892
clevelandcavaliers 2115.64 246.838
losangelesclippers 2023.92 177.654
atlantahawks 1868.86 187.088
miamiheat 1823.85 332.178
portlandtrailblazers 1748.44 341.716
indianapacers 1742.78 307.434
bostonceltics 1726.38 219.403
charlottehornets 1684.47 293.111
utahjazz 1549.32 190.61
dallasmavericks 1532.28 187.473
detroitpistons 1509.03 282.281
washingtonwizards 1482.44 187.797
memphisgrizzlies 1478.41 281.72
houstonrockets 1475.91 252.836
orlandomagic 1463.86 254.005
chicagobulls 1387.9 302.159
16761.8
WINNING CREATURE
goldenstatewarriors 2532.93 221.053
sanantoniospurs 2197.87 248.178
oklahomacitythunder 2180.39 265.663
torontoraptors 2064.78 289.505
losangelesclippers 2004.92 193.944
clevelandcavaliers 2004.48 312.16
atlantahawks 1902.97 212.916
indianapacers 1764.11 250.528
bostonceltics 1741.06 238.613
portlandtrailblazers 1740.76 281.833
miamiheat 1702.02 294.905
charlottehornets 1669.17 312.924
dallasmavericks 1637.54 128.99
utahjazz 1570.82 271.1
washingtonwizards 1494.43 204.12
memphisgrizzlies 1481.76 295.349
orlandomagic 1400.35 303.677
houstonrockets 1377.06 198.207
detroitpistons 1369.75 289.282
chicagobulls 1365.32 248.438
16768.8
WINNING CREATURE
goldenstatewarriors 2526.42 221.22
sanantoniospurs 2149.73 307.743
torontoraptors 2121.93 224.036
oklahomacitythunder 2095.44 254.947
clevelandcavaliers 2061.68 251.454
losangelesclippers 1971.36 204.871
atlantahawks 1916.37 213.147
portlandtrailblazers 1758.35 278.537
bostonceltics 1715.76 241.597
indianapacers 1713.14 277.933
miamiheat 1693.12 327.372
charlottehornets 1674.17 257.645
dallasmavericks 1576.4 143.209
utahjazz 1554.75 260.613
houstonrockets 1496.7 250.209
memphisgrizzlies 1481.92 236.355
orlandomagic 1424.61 299.504
washingtonwizards 1422.07 263.303
detroitpistons 1402.22 283.044
chicagobulls 1318.26 243.207
16774.4
WINNING CREATURE
goldenstatewarriors 2409.19 281.202
sanantoniospurs 2204.3 272.96
clevelandcavaliers 2158.71 206.609
oklahomacitythunder 2047.08 269.665
torontoraptors 2032.69 267.636
losangelesclippers 2022.33 184.696
atlantahawks 1855.38 267.877
portlandtrailblazers 1783.04 243.396
indianapacers 1778.27 204.31
miamiheat 1744.55 249.185
bostonceltics 1731.92 242.593
charlottehornets 1672.8 283.916
utahjazz 1577.63 269.12
dallasmavericks 1567.01 108.696
memphisgrizzlies 1475.61 226.355
washingtonwizards 1455.23 186.887
orlandomagic 1429.96 339.266
houstonrockets 1401.83 223.004
detroitpistons 1350.69 263.168
chicagobulls 1349.58 274.189
16786.2
WINNING CREATURE
goldenstatewarriors 2482.18 249.088
