
WINNING CREATURE
sanantoniospurs 2328.23 151.74
dallasmavericks 2240.79 217.942
sacramentokings 1985.35 303.714
portlandtrailblazers 1832.98 189.554
detroitpistons 1785.16 272.628
losangeleslakers 1774.64 313.749
philadelphiassers 1757.76 181.755
houstonrockets 1718.58 267.693
minnesotatimberwolves 1718.12 318.89
brooklynnets 1699.67 291.648
phoenixsuns 1695.45 383.024
utahjazz 1655.67 346.628
indianapacers 1632.97 277.777
bostonceltics 1619.72 200.742
oklahomacitythunder 1577.85 344.359
charlottehornets 1538.98 238.908
neworleanspelicans 1514.74 285.3
orlandomagic 1480.37 239.29
goldenstatewarriors 1465.97 243.888
milwaukeebucks 1429.05 300.083
16826
WINNING CREATURE
sanantoniospurs 2296.58 226.849
dallasmavericks 2171.81 249.04
sacramentokings 2011.94 248.057
portlandtrailblazers 1821.49 195.809
minnesotatimberwolves 1766.24 334.147
losangeleslakers 1757.4 327.921
philadelphiassers 1740.19 129.889
detroitpistons 1735.09 293.267
houstonrockets 1717.23 296.95
phoenixsuns 1697.8 317.286
brooklynnets 1681.34 328.806
indianapacers 1627.35 295.004
utahjazz 1623.12 359.181
bostonceltics 1600.91 226.626
oklahomacitythunder 1593.68 296.853
neworleanspelicans 1540.12 296.618
milwaukeebucks 1522.23 297.171
goldenstatewarriors 1511.31 250.846
charlottehornets 1502.83 179.257
orlandomagic 1480.64 325.655
16826
WINNING CREATURE
dallasmavericks 2328.5 207.827
sanantoniospurs 2199.79 208.877
sacramentokings 1965.94 308.033
detroitpistons 1824 267.128
portlandtrailblazers 1813.37 159.007
brooklynnets 1781.96 251.551
losangeleslakers 1746.17 281.813
houstonrockets 1744.2 261.234
philadelphiassers 1725.07 195.243
minnesotatimberwolves 1699.38 333.053
phoenixsuns 1688.35 417.548
utahjazz 1634.74 285.361
bostonceltics 1613.91 201.092
indianapacers 1599.96 319.719
oklahomacitythunder 1558.94 303.608
goldenstatewarriors 1558.59 232.152
neworleanspelicans 1539.17 346.135
orlandomagic 1479.01 346.454
milwaukeebucks 1435.54 268.104
washingtonwizards 1335.34 243.415
16830.5
WINNING CREATURE
sanantoniospurs 2267.74 204.32
